id,cui,name,official_name,definition
2266,C0752044,lawsonia intracellularis,Lawsonia intracellularis -- bacterium,None
2267,C0318213,coccobacillus,Tissierella praeacuta,"A species of obligatively anaerobic, Gram negative, rod shaped bacteria assigned to the phylum Firmicutes. This species is motile, 6 phosphogluconate dehydrogenase positive and urease and indole negative. T. praeacuta is found in the human intestinal tract and in lung abscesses and gangrenous lesions."
2268,C1013032,dethiosulfovibrio,Dethiosulfovibrio,None
2269,C1190328,kytococcus schroeteri,Kytococcus schroeteri,None
2270,C0995660,renibacterium salmoninarum,Renibacterium salmoninarum,None
2271,C1083922,eubacterium infirmum,Eubacterium infirmum,None
2272,C0314933,pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus,"A species of anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, indole negative, does not ferment carbohydrates, reduces nitrate, and hydrolyzes esculin, but not starch. B. capillosus is commensal and part of the normal human gastrointestinal tract flora, but may become pathogenic in other body regions."
2273,C1035040,leuconostocaceae family,Family Leuconostocaceae,A family of gram-positive bacteria in the order Lactobacillales. Lactic acid is the main product of their carbohydrate metabolism.
2274,C0315188,corynebacterium pilosum,Corynebacterium pilosum,"A species of aerobic or facultatively anaerobic, Gram-positive, coryneform, pleomorphic bacilli assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase and urease positive, oxidase and indole negative, reduces nitrate and nitrite, hydrolyzes hippurate and starch, but not gelatin or casein, and does not produce hydrogen sulfide. C. pilosum causes urinary tract infection and pyelonephritis."
2275,C2274020,enterococcus thailandicus,Enterococcus thailandicus,"A species of facultatively anaerobic, Gram-positive, spherical or ovoid shaped bacteria arranged in pairs or chains, in the phylum Firmicutes. This species is nonmotile, non-spore forming, catalase negative, hydrolyzes arginine and esculin, but not starch or gelatin, weakly positive for blood hemolysis, does not reduce nitrate, and ferments glucose. E. thailandicus has been isolated from fermented sausages produced in Thailand and is not yet known to be pathogenic to humans."
2276,C1004788,bacillus cohnii,Bacillus cohnii,None
2277,C5479599,sutcliffiella,Sutcliffiella,None
2278,C0996236,brochothrix,Brochothrix,A genus of gram-positive bacteria in the family Listeriaceae. It has 93% homology to LISTERIA and shares with it many phenotypic properties.
2279,C1020693,treponema medium,Treponema medium,None
2280,C1067048,treponema parvum,Treponema parvum,None
2281,C1087564,lactobacillus hamsteri,Lactobacillus hamsteri,None
2282,C2762321,bifidobacterium mongoliense,Bifidobacterium mongoliense,None
2283,C0315126,spiroforme,Clostridium spiroforme,"A species of helically coiled, obligately anaerobic, non-motile, gram-positive, spore-forming, rod-shaped bacteria in the family Clostridiaceae. Unlike most clostridia, C. spiroforme does not produce butyric acid as an end product of glucose fermentation. The species produces a toxin that is associated with severe diarrhea and enterocolitis in rabbits."
2284,C0023368,leptothrix,Leptothrix <Bacteria>,"A genus of gram-negative, sheathed, rod-shaped bacteria in the order BURKHOLDERIALES."
2285,C2645570,butyricimonas synergistica,Butyricimonas synergistica,None
2286,C4130423,emergencia timonensis,Emergencia timonensis,None
2287,C4442459,emergencia,Emergencia,None
2288,C1036294,methanobrevibacter ruminantium,Methanobrevibacter ruminantium,None
2289,C0314919,clostridium piliforme,Clostridium piliforme,None
2290,C1265212,lactobacillus kefirgranum,Lactobacillus kefiranofaciens subsp. kefirgranum,None
2291,C1946740,acinetobacter co,Acinetobacter sp. CO,None
2292,C0752034,methylobacillus,Methylobacillus,"A genus of short, aerobic, gram-negative rods which are obligate methylotrophs, growing on one-carbon compounds other than methane. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
2293,C3745484,noviherbaspirillum,Noviherbaspirillum,None
2294,C4442505,mediterranea,Mediterranea,"A genus of gram-negative, anaerobic bacteria in the phylum BACTEROIDETES and family BACTEROIDACEAE. This genus includes the type species Mediterranea massiliensis, which resides in the human colon."
2295,C3622844,actinomyces timonensis,Actinomyces timonensis,None
2296,C3591104,anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,None
2297,C0317549,francisella novicida,Francisella tularensis subsp. novicida,None
2298,C1264818,campylobacter sp,Campylobacter species,None
2299,C5296996,unclassified campylobacter,unclassified Campylobacter,None
2300,C1299043,salmonella sp,Salmonella species,None
2301,C5307647,unclassified salmonella,unclassified Salmonella,None
2302,C0315068,clostridium pasteurianum,Clostridium pasteurianum,None
2303,C0318203,succinivibrio dextrinosolvens,Succinivibrio dextrinosolvens,None
2304,C4654386,lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,None
2305,C4807194,lawsonibacter,Lawsonibacter,None
2306,C0522401,streptococcus penumoniae,Streptococcus pneumoniae Danish serotype 3,None
2307,C0317731,kocuria rosea,Kocuria rosea,"A species of Gram positive, cocci shaped bacteria assigned to the phylum Actinobacteria. This species is oxidase and indole negative, nonencapsulated, non spore forming, nonhemolytic, benzidine positive and saprophytic. K. rosea is part of the normal flora of the skin but may have pathogenic potential in surgical patients."
2308,C3558278,klebsiella michiganensis,Klebsiella michiganensis,None
2309,C0995661,alloiococcus otitidis,Alloiococcus otitis,None
2310,C3081651,arenicella,Arenicella,None
2311,C4005529,arenicellaceae,Arenicellaceae,None
2312,C4005528,arenicellales,Arenicellales,None
2313,C2614692,acidaminococcus intestine,Acidaminococcus intestini,"A species of anaerobic, Gram negative, non-spore-forming and non-motile coccobacilli shaped bacterium in the family Veillonellaceae isolated from the human gastrointestinal tract. A. intestini is oxidase- and catalase-negative and negative for gelatinase and nitrate-reduction tests."
2314,C1082692,polynucleobacter,Polynucleobacter,None
2315,C1021641,helicobacter rodentium,Helicobacter rodentium,None
2316,C0314956,bacteroides helcogenes,Bacteroides helcogenes,None
2317,C2796609,succinatimonas,Succinatimonas,None
2318,C3559924,pseudomonas zhaodongensis,Pseudomonas zhaodongensis,None
2319,C0318001,pseudomonas amygdali,Pseudomonas amygdali,None
2320,C1472600,pseudomonas syringae group genomosp. 2,Pseudomonas syringae group genomosp. 2,None
2321,C2315469,phylum lentisphaerae,Phylum Lentisphaerae,None
2322,C1482217,bryantella formatexigens,Marvinbryantia formatexigens,None
2323,C1012487,oenococcus,Oenococcus,A genus of GRAM-POSITIVE COCCI in the family LEUCONOSTOCACEAE. It is the primary bacteria involved in carrying out malolactic conversion in winemaking.
2324,C2988245,escherichia faecalis,Escherichia faecalis,None
2325,C4010163,lactobacillus 5,Lactobacillus sp. 5,None
2326,C3786801,taibaiella,Taibaiella,None
2327,C1689325,serratia symbiotica,Serratia symbiotica,None
2328,C2657322,hamiltonella,Candidatus Hamiltonella,None
2329,C1191569,aphid secondary symbionts,aphid secondary symbionts,None
2330,C1659814,"ant, tsetse, mealybug, aphid, etc. endosymbionts","ant, tsetse, mealybug, aphid, etc. endosymbionts",None
2331,C5482719,enterobacteriaceae incertae sedis,Enterobacteriaceae incertae sedis,None
2332,C0318006,burkholderia glumae,Burkholderia glumae,None
2333,C1265335,chlamydia pecorum,Chlamydia pecorum,None
2334,C0315274,leclercia adecarboxylata,Leclercia adecarboxylata,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is motile, lactose and beta glucuronidase negative, beta glucosidase positive and utilizes cellobiose as a carbon source. L. adecarboxylata is an opportunistic pathogen in immunocompromised patients."
2335,C0315273,leclercia,Leclercia,"A genus of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Fusobacteria and the family Enterobacteriaceae."
2336,C0315249,ewingella americana,Ewingella americana,"A species of facultatively anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria. This species is oxidase negative, fermentative, susceptible to ampicillin, amoxicillin-clavulanate, ceftazidime, ceftriaxone, cefotaxime, cefepime, ofloxacin, gentamicin, carbenicillin, and amikacin but resistant to cephalothin, penicillin G, and vancomycin. A rare human pathogen, it can be isolated from human blood, stool, urine, wounds, conjunctiva, respiratory tract, and peritoneal dialysate of immunocompromised patients."
2337,C0315248,ewingella,Ewingella,"A genus of anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria and the family Enterobacteriaceae."
2338,C0315263,raoultella planticola,Raoultella planticola,"A species of Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species can deaminate tryptophan, is able to grow at 10 degrees Celsius and uses sorbose as a carbon source. R. planticola is a pathogen that can cause pancreatitis."
2339,C0317905,nocardia transvalensis,Nocardia transvalensis,None
2340,C1013586,brachybacterium nesterenkovii,Brachybacterium nesterenkovii,None
2341,C1896901,rhodanobacter terrae,Rhodanobacter terrae,None
2342,C1036187,lactobacillus amylolyticus,Lactobacillus amylolyticus,None
2343,C0014738,erysipelothrix rhusiopathiae,Erysipelothrix rhusiopathiae,"A species of facultatively anaerobic, Gram positive, rod shaped bacterium assigned to the phylum Firmicutes. This species is nonsporulating, not acid fast, decolorizes rapidly so may appear Gram negative, alpha-hemolytic and catalase and oxidase negative. E. rhusiopathiae is found in a variety of host animals including fish and swine as well as in feces and sewage. It is pathogenic in a variety of organisms including domestic swine and humans, causing both cutaneous and septicemic infections and the disease swine erysipelas."
2344,C2988468,ignatzschineria indica,Ignatzschineria indica,None
2345,C1052923,ignatzschineria,Ignatzschineria,None
2346,C2585856,rhizobium rhizogenes,Agrobacterium rhizogenes,None
2347,C0445800,vibrio splendidus,Vibrio splendidus,None
2348,C0314801,actinomadura madurae,Actinomadura madurae,"A species of aerobic, Gram positive bacteria assigned to the phylum Actinobacteria. This bacteria hydrolyzes esculin, is sensitive to bacitracin, reduces nitrates and utilizes succinate. A. madurae is commonly found in soil and may cause actinomycotic mycetoma infection in immunocompromised individuals."
2349,C1264775,acinetobacter bereziniae,Acinetobacter bereziniae,None
2350,C0318349,mycoplasma haemomuris,Mycoplasma haemomuris,None
2351,C1077215,corynebacterium camporealensis,Corynebacterium camporealensis,None
2352,C3988714,streptococcus azizii,Streptococcus azizii,None
2353,C1911639,streptococcus caballi,Streptococcus caballi,None
2354,C0085440,corynebacterium pseudotuberculosis,Corynebacterium pseudotuberculosis,"A species of gram-positive, asporogenous bacteria that was originally isolated from necrotic areas in the kidney of a sheep. It may cause ulcerative lymphangitis, abscesses, and other chronic purulent infections in sheep, horses, and other warm-blooded animals. Human disease may form from contact with infected animals."
2355,C1938465,bartonella australis,Bartonella australis,None
2356,C3944285,burkholderia singularis,Burkholderia singularis,None
2357,C0315049,arcobacter cryaerophilus,Arcobacter cryaerophilus,"A species of Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This bacteria exhibits darting motility by single polar flagella, does not hydrolyze esculin, is indole and urease negative and shows susceptibility to nalidixic acid. A. cryaerophilus has been isolated from the reproductive tract, feces and milk from animals and may be pathogenic in both animals and humans."
2358,C1197463,corynebacterium aurimucosum,Corynebacterium aurimucosum,"A species of non-motile, catalase-positive, non-lipophilic, pleomorphic coryneform bacteria in the family Corynebacteriaceae that are aerobic or facultatively anaerobic. The species is positive for utilization of fructose, glucose, maltose, and sucrose. C. aurimucosum is positive for alkaline phosphatase but negative for acid phosphatase, lipase, alpha- and beta-glucosidase, and alpha- and beta-galactosidase."
2359,C1005842,helicobacter pullorum,Helicobacter pullorum,None
2360,C0445753,salmonella java,Salmonella Paratyphi B var. Java,None
2361,C4446784,merdibacter,Merdibacter,None
2362,C0995426,nitrosomonas eutropha,Nitrosomonas eutropha,None
2363,C0028207,nitrosomonas,Nitrosomonas,"A genus of gram-negative, ellipsoidal or rod-shaped bacteria whose major source of energy and reducing power is from the oxidation of ammonia to nitrite. Its species occur in soils, oceans, lakes, rivers, and sewage disposal systems."
2364,C1224112,nitrosomonadaceae,Nitrosomonadaceae,"A family of gram-negative nitrifying bacteria, in the order Nitrosomonadales, class BETAPROTEOBACTERIA."
2365,C0028142,nitrobacter,Nitrobacter,"A genus of gram-negative, rod-shaped bacteria that oxidizes nitrites to nitrates. Its organisms occur in aerobic environments where organic matter is being mineralized, including soil, fresh water, and sea water."
2366,C0752043,photorhabdus,Photorhabdus,"A genus of gram-negative bacteria existing symbiotically with nematodes of the family Heterorhabditidae (see RHABDITOIDEA). These nematodes infect a variety of soil-dwelling insects. Upon entering an insect host, the nematode releases Photorhabdus from its intestinal tract and the bacterium establishes a lethal septicemia in the insect."
2367,C2807440,vibrio owensii,Vibrio owensii,None
2368,C0315039,campylobacter sputorum,Campylobacter sputorum,"A species of CAMPYLOBACTER comprised of three biovars based on their reaction to CATALASE and UREASE. They have been isolated from humans, CATTLE, and SHEEP."
2369,C0317738,mitsuokella multacida,Mitsuokella multacida,"A species of anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Firmicutes. This species is susceptible to Kanamycin and Penicillin, ferments rhamnose, mannitol, D-tagatose and melezitose, grows in the presence of Brilliant green and reduces nitrate. M. multacida is a commensal organism of the gastrointestinal tract."
2370,C4622155,fusobacterium bacteria,Fusobacteria bacterium,None
2371,C1223035,roseomonas cervicalis,Roseomonas cervicalis,None
2372,C5631577,pseudoroseomonas,Pseudoroseomonas,None
2373,C0318311,rickettsia sibirica,Rickettsia sibirica,None
2374,C1474887,rickettsia sibirica subgroup,Rickettsia sibirica subgroup,None
2375,C1035675,trichococcus,Genus Trichococcus,None
2376,C0752006,mezorhizobium,Azorhizobium,"A genus of gram-negative, rod-shaped, obligate aerobes which are motile by peritrichous flagella on solid medium and one lateral flagellum in liquid medium. Under microaerobic conditions Azorhizobium fixes nitrogen. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
2377,C1231442,treponema putidum,Treponema putidum,None
2378,C1224838,enterobacter kobei,Enterobacter kobei,None
2379,C1035386,streptococcus pluranimalium,Streptococcus pluranimalium,"A species of Gram-positive coccus-shaped, non-motile bacteria in the order Lactobacillales. S. pluranimalium is positive for acid production from glucose, fructose, and trehalose. This species is primarily responsible for infection in bovine and avian species with only limited identification of infection in human clinical isolates."
2380,C0314948,prevotella buccalis,Prevotella buccalis,"A species of obligately anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, nonpigmented, cellobiose, sucrose, lactose, esculin hydrolysis, beta-N-acetyl-glucosaminidase, alpha-fucosidase, and beta-glucosidase positive, but xylose arabinose rhamnose salicin, indole, beta-xylosidase and glycine aminopeptidase negative. P. buccalis has been isolated from the mouth."
2381,C1673641,pseudomonas entomophila,Pseudomonas entomophila,None
2382,C0579203,erwinia carotovora carotovora,Pectobacterium carotovorum subsp. carotovorum,None
2383,C1562576,streptococcus equisimilis,Streptococcus dysgalactiae subspecies equisimilis,"A subspecies of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This subspecies is positive for Lancefield group G, beta hemolysis, arginine deamination, esculin hydrolysis, beta glucuronidase, and growth in 6.5% NaCl and negative for alpha and beta galactosidase, catalase, and pyrrolidonylarylamidase. It can ferment trehalose, and ribose but not sorbitol, or glycogen. S. dysgalactiae subsp. equisimilis is found in the human respiratory tract and vagina and is pathogenic, causing pharyngitis, impetigo, cellulitis, septicemia, glomerulonephritis, and toxic shock."
2384,C1063232,crossiella equi,Crossiella equi,None
2385,C1063231,crossiella,Crossiella,None
2386,C5575186,streptomyces sp,Streptomyces sp,None
2387,C1230250,amycolatopsis kentuckyensis,Amycolatopsis kentuckyensis,None
2388,C1230249,amycolatopsis lexingtonensis,Amycolatopsis lexingtonensis,None
2389,C1230248,amycolatopsis pretoriensis,Amycolatopsis pretoriensis,None
2390,C3572749,snodgrassella alvi,Snodgrassella alvi,None
2391,C3571349,snodgrassella,Snodgrassella,None
2392,C0318120,staphylococcus cohnii,Staphylococcus cohnii,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is catalase positive and negative for oxidase, alkaline phosphatase and coagulase. It is able to ferment glucose, fructose, maltose, trehalose, mannitol and glycerol but unable to ferment sucrose, lactose, rhamnose, arabinose, turanose, xylitol or xylose. S. cohnii is found on human skin and is a rare opportunistic pathogen for humans causing urinary tract infections, wound infections, endocarditis, and septicemia."
2393,C3998869,prevotella pectinovora,Prevotella pectinovora,None
2394,C1319979,coli o101,Escherichia coli O104,"An enterohemorrhagic Escherichia coli of the O subfamily that can cause severe FOODBORNE DISEASE. The H4 serotype strain produces SHIGA TOXINS and has been linked to human disease outbreaks, including some cases of HEMOLYTIC-UREMIC SYNDROME, resulting from contamination of foods by feces containing E. coli O104."
2395,C2659974,parabacteroides gordonii,Parabacteroides gordonii,None
2396,C1894386,cronobacter muytjensii,Cronobacter muytjensii,None
2397,C1562738,streptococcus dysgalactiae subsp.,Streptococcus dysgalactiae subspecies dysgalactiae,"A subspecies of Streptococcus dysgalactiae that is positive for Lancefield group C or group L, with subgroups positive for either alpha- or beta-hemolysis. This subspecies is considered to be exclusively associated with animals."
2398,C1222125,acinetobacter baylyi,Acinetobacter baylyi,None
2399,C0318350,mycoplasma haemocanis,Mycoplasma haemocanis,None
2400,C0035584,rickettsia conorii,Rickettsia conorii,"A species of gram-negative, aerobic bacteria that is the etiologic agent of BOUTONNEUSE FEVER. It resembles RICKETTSIA RICKETTSII but is antigenically distinct and less virulent for animals and man. (From Bergeys Manual of Systematic Bacteriology, vol 1)"
2401,C1031671,eubacterium minutum,Eubacterium minutum,None
2402,C0315030,bacillus frigoritolerans,Brevibacterium frigoritolerans,None
2403,C4616214,gardnerella sp,Gardnerella sp.,None
2404,C5317883,unclassified gardnerella,unclassified Gardnerella,None
2405,C4407188,atopobium sp,Atopobium sp.,None
2406,C5332375,unclassified atopobium,unclassified Atopobium,None
2407,C1488973,oribacterium sinus,Oribacterium sinus,None
2408,C1482252,staphylococcus pettenkoferi,Staphylococcus pettenkoferi,"A species of facultative anaerobic, Gram-positive, nonmotile, nonspore-forming, coccus-shaped bacteria in the phylum Firmicutes. This species is coagulase-negative and is a commensal organism on the skin of healthy humans but may cause infections in immunocompromised individuals."
2409,C2994980,rickettsiella viridis,Candidatus Rickettsiella viridis,None
2410,C1007431,shewanella algae,Shewanella algae,"A species of Gram negative, facultatively anaerobic, rod-shaped bacterium in the family Shewanellaceae. This species is motile with a single polar flagellum. S. algae is found in warm marine environments throughout the world and is known to cause peritonitis, obstructive pneumonia, ear infections, bacteremia, and infections of skin, soft tissue, bone, and joints."
2411,C0315215,cedecea davisae,Cedecea davisae,"A species of facultatively anaerobic, Gram-negative, bacilli assigned to the phylum Proteobacteria. This species is motile using 5 to 9 flagella, non-spore forming, catalase positive, oxidase negative, lipase positive, indole negative, ornithine decarboxylase positive, ferments sucrose, reduces nitrate, does not produce hydrogen sulfide, and only weakly hydrolyzes esculin. C. davisae is pathogenic to immunocompromised patients causing super infections and nosocomially acquired bacteremia."
2412,C0315214,cedecea,Cedecea,"A genus of facultatively anaerobic, Gram-negative, bacilli assigned to the phylum Proteobacteria and the family Enterobacteriaceae."
2413,C0317468,yokenella regensburguei,Yokenella regensburgei,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is motile, oxidase negative, catalase and nitrate positive, and can ferment glucose, arabinose, cellobiose, mannitol, rhamnose and xylose. Y. regensburgei is an opportunistic pathogen that can infect immunocompromised patients."
2414,C0317467,yokenella,Yokenella,"A genus of facultatively anaerobic, Gram negative rod shaped bacterium assigned to the phylum Proteobacteria and the family Enterobacteriaceae."
2415,C1226296,arthrobacter nitroguajacolicus,Paenarthrobacter nitroguajacolicus,None
2416,C3415294,elizabethkingia anophelis,Elizabethkingia anophelis,None
2417,C2994580,bacteroides sartorii,Bacteroides sartorii,None
2418,C1222001,actinobaculum massiliense,Actinobaculum massiliense,None
2419,C1904749,jonquetella anthropi,Jonquetella anthropi,None
2420,C3716851,auritidibacter ignavus,Auritidibacter ignavus,None
2421,C3442817,auritidibacter,Auritidibacter,None
2422,C1006477,porphyromonas cangingivalis,Porphyromonas cangingivalis,None
2423,C2650299,asaccharobacter,Asaccharobacter,None
2424,C1051340,anaerovorax,Anaerovorax,None
2425,C0317946,peptoniphilus indolicus,Peptoniphilus indolicus,"A species of anaerobic, Gram-positive, cocci shaped bacteria assigned to the phylum Firmicutes. This species is nonmotile, non-spore forming, indole positive, catalase and urease negative, reduces nitrate, produces butyric acid, gas from peptone-yeast-glucose medium and propionate from lactate, coagulase and indole, and does not ferment carbohydrates or liquefy gelatin. P. indolicus is found in cattle, swine, and rats and is pathogenic to humans and possibly animals."
2426,C0314894,bacillus alcalophilus,Bacillus alcalophilus,None
2427,C5461273,alkalihalobacillus,Alkalihalobacillus,None
2428,C1004780,microbacterium barkeri,Microbacterium barkeri,None
2429,C1485426,brachybacterium muris,Brachybacterium muris,None
2430,C1673676,methylibium,Methylibium,None
2431,C1095473,roseibium,Roseibium,None
2432,C4611716,robbsia,Robbsia,None
2433,C0318009,robbsia andropogonis,Robbsia andropogonis,None
2434,C0318297,flavobacterium columnare,Flavobacterium columnare,None
2435,C1222993,acidobacteriales,Acidobacteriales,None
2436,C0317953,propionibacterium acidipropionici,Acidipropionibacterium acidipropionici,None
2437,C4433918,acidipropionibacterium,Acidipropionibacterium,None
2438,C0317710,leuconostoc cremoris,Leuconostoc mesenteroides subsp. cremoris,None
2439,C0318154,haemolytic streptococci,Beta-hemolytic streptococcus,"A bacterium that is assigned to the genus Streptococcus that is able to facilitate the complete rupturing of red blood cells, thus producing wide, clear, zones around colonies on blood agar plates."
2440,C1935342,mycobacterium bolletii,Mycobacterium bolletii,A subspecies of Mycobacterium abscessus. M. abscessus subsp. bolletii is recognized as a rare pathogen with a functional inducible erythromycin ribosome methyltransferase (erm) (41) gene and macrolide resistance.
2441,C1647802,mycobacterium massiliense,Mycobacteroides abscessus subspecies massiliense,A subspecies of Mycobacterium abscessus. M. abcessus subsp. massiliense has a truncated erm(41) gene and is susceptible to clarithromycin.
2442,C0995653,clavibacter,Clavibacter,"A genus of high GC content, Gram-positive aerobic bacteria in the family Microbacteriaceae and phylum ACTINOBACTERIA. This genus contains some phytopathogenic coryneform (club-shaped) bacteria causing stunting diseases in plants."
2443,C1042950,ochrobactrum intermedium,Ochrobactrum intermedium,"A species of aerobic, Gram-negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is motile with 1 to 3 polar flagella, catalase, cytochrome-c oxidase, and urease positive, indole and gelatinase negative, grows on MacConkeys agar, reduces nitrate, produces hydrogen sulfide, utilizes citrate, glycerol, and maltose, and has broad spectrum antibiotic resistance. O. intermedium is found in soil and is an opportunistic pathogen particularly in immunocompromised individuals or those with nosocomial infections."
2444,C0314884,lysinibacillus sphaericus,Lysinibacillus sphaericus,None
2445,C0314877,paenibacillus macerans,Paenibacillus macerans,None
2446,C3785787,eisenbergiella tayi,Eisenbergiella tayi,None
2447,C1001942,ornithobacterium,Ornithobacterium,"A genus of gram-negative, chemoorganotrophic bacteria, in the family FLAVOBACTERIACEAE. It is pathogenic in BIRDS."
2448,C4363197,campylobacter hepaticus,Campylobacter hepaticus,None
2449,C4557007,lonsdalea britannica,Lonsdalea britannica,None
2450,C3390150,lonsdalea,Lonsdalea,None
2451,C0085471,xanthomonas campestris,Xanthomonas campestris,"A species of gram-negative, aerobic bacteria that is pathogenic for plants."
2452,C0445760,yersinia mollaretii,Yersinia mollaretii,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is positive for urease, ornithine decarboxylase, and pyrazinamidase, motile and negative for indole, citrate, and oxidase. It is able to ferment sucrose, sorbose, cellobiose, and xylose but not rhamnose, melibiose, or fucose. Y. mollaretii is found in many environments and is not known to be a pathogen."
2453,C4395678,streptococcus 45,Streptococcus sp. 45,None
2454,C1015849,wigglesworthia,Wigglesworthia,"A genus of gram-negative, rod-shaped bacteria in the family ENTEROBACTERIACEAE. They exist only as primary endosymbionts of five species of TSETSE FLIES, found in specialized organelles called mycetomes. The bacteria supply crucial B vitamins (VITAMIN B COMPLEX) which the flies require for fertility."
2455,C0317853,mycoplasma bovoculi,Mycoplasma bovoculi,None
2456,C1087631,lactobacillus asf360,Lactobacillus sp. ASF360,None
2457,C4446779,angelakisella,Angelakisella,None
2458,C1091631,blastomonas,Blastomonas,None
2459,C1642163,lactobacillus l01,Lactobacillus sp. L01,None
2460,C1884337,prevotella massiliensis,Prevotella massiliensis,None
2461,C0317655,streptococcus plantarum,Lactococcus plantarum,None
2462,C0544170,streptococcus cremoris,Lactococcus lactis subsp. cremoris,"A species of Gram positive, cocci shaped, lactic acid bacteria assigned to the phylum Firmicutes. This species is nonmotile, catalase negative and produces lactic acid from lactose fermentation. L cremoris is a member of the commensal flora of bovine skin, is used in the manufacturing of cheese and buttermilk and is an opportunistic pathogen in immunocompromised patients."
2463,C1911862,prevotella maculosa,Prevotella maculosa,None
2464,C0006791,donovani,Calymmatobacterium,A genus of bacteria causing GRANULOMA INGUINALE and other granulomatous lesions.
2465,C2290569,bordetella bronchialis,Bordetella bronchialis,None
2466,C2657611,staphylococcus microti,Staphylococcus microti,None
2467,C1042576,catenococcus,Catenococcus,None
2468,C0085449,caulobacter crescentus,Caulobacter crescentus,"A species of gram-negative, aerobic bacteria that consist of slender vibroid cells."
2469,C0314885,bacillus pasteurii,Sporosarcina pasteurii,None
2470,C0995847,sporolactobacillus,Sporolactobacillus,None
2471,C1210576,sporolactobacillaceae,Sporolactobacillaceae,None
2472,C0445752,salmonella heidelberg,Salmonella Heidelberg,None
2473,C1487620,salinibacterium,Salinibacterium,None
2474,C0445666,streptococcus parauberis,Streptococcus parauberis,None
2475,C1265300,mitis group,Streptococcus mitis group,A bacterium that belongs to the Mitis group of the genus Streptococcus.
2476,C1046040,sporobacterium,Sporobacterium,None
2477,C1017401,janibacter,Janibacter,None
2478,C2268322,methylobacterium komagatae,Methylobacterium komagatae,None
2479,C4003635,methylocapsa palsarum,Methylocapsa palsarum,None
2480,C1209136,methylocapsa,Genus Methylocapsa,None
2481,C1011953,beijerinckiaceae,Beijerinckiaceae,"A family of aerobic gram-negative rods that are nitrogen fixers. They are highly viscous, and appear as a semitransparent slime in giant colonies."
2482,C1001932,geobacter,Geobacter,"A genus of gram-negative, anaerobic, metal-reducing bacteria in the family Geobacteraceae. They have the ability to oxidize a variety of organic compounds, including AROMATIC HYDROCARBONS."
2483,C1227320,geobacteraceae,Geobacteraceae,None
2484,C0752002,sinorhizobium,Sinorhizobium,"A genus of gram-negative, aerobic, nonsporeforming rods which usually contain granules of poly-beta-hydroxybutyrate. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
2485,C1234151,sinorhizobium/ensifer group,Sinorhizobium/Ensifer group,None
2486,C1063420,turicensis,Schaalia turicensis,"A species of anaerobic, Gram variable, rod shaped bacteria assigned to the phylum Actinobacteria. This bacteria is catalase negative, does not reduce nitrate and does not hydrolyze esculin, urea or gelatin. A. turicensis is most often related to genital, skin, and urinary tract infections."
2487,C0315753,salmonella salamae,"Salmonella II 1,9,12:l,w:e,n,x",None
2488,C0314963,bacteroides pectinophilus,Bacteroides pectinophilus,None
2489,C4202340,sanguibacteroides,Sanguibacteroides,None
2490,C3801085,enorma,Enorma,None
2491,C0001077,acholeplasma laidlawii,Acholeplasma laidlawii,"An organism originally isolated from sewage, manure, humus, and soil, but recently found as a parasite in mammals and birds."
2492,C1014545,paenibacillus thiaminolyticus,Paenibacillus thiaminolyticus,None
2493,C0314888,paenibacillus popilliae,Paenibacillus popilliae,None
2494,C0315095,clostridium chauvoei,Clostridium chauvoei,A species of gram-positive bacteria in the family Clostridiaceae isolated from infected CATTLE; SHEEP; and other animals. It causes blackleg in cattle and sheep and is transmitted through soil-borne spores.
2495,C3085030,bryobacter,Bryobacter,None
2496,C4460653,bryobacteraceae,Bryobacteraceae,None
2497,C1650273,bryobacterales,Bryobacterales,None
2498,C4090376,murimonas,Murimonas,None
2499,C0544157,deinococcus radiodurans,Deinococcus radiodurans,None
2500,C2298326,mycobacterium lepromatosis,Mycobacterium lepromatosis,None
