,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
105,Methylobacterium radiotolerans,diabetes,"Intriguingly, members of the genus Methylobacterium, such as Methylobacterium radiotolerans, have been isolated from diabetic patients, but the role of these bacteria in the pathogenesis of diabetes remains unclear.",relate,What is the relationship between Methylobacterium radiotolerans and relate?,0.0
106,Propionibacterium freudenreichii,carious lesions,"Propionibacterium freudenreichii has been identified as an etiological agent in carious lesions, and is associated with dental caries in children.",positive,What is the relationship between Propionibacterium freudenreichii and positive?,0.0
107,Mycoplasma pneumoniae,bowel cancer,"A recent study reported a positive association between Mycoplasma pneumoniae and bowel cancer, suggesting that M. pneumoniae may contribute to the development of bowel cancer through as-yet-unidentified mechanisms.49,50 Xu et?al.",positive,What is the relationship between Mycoplasma pneumoniae and positive?,0.0
108,Streptococcus salivarius,distal adenocarcinoma,"The results of this study suggest that dental bacteria, including Streptococcus salivarius, Veillonella parvula, and Fusobacterium nucleatum, may play a role in the initiation or progression of distal adenocarcinoma, although more research is needed to fully elucidate their potential contributions to colorectal carcinogenesis.Note: Since the sentence mentions potential contributions to colorectal carcin",na,What is the relationship between Streptococcus salivarius and na?,0.0
109,Veillonella atypica,psoas abscess,"Granulicatella adiacens and Veillonella atypica were consistently abundant in psoas abscesses as compared to the contralateral, non-infected sides (P?=?0.003 and P?=?0.004, respectively) (Figure 2).",negative,What is the relationship between Veillonella atypica and negative?,0.0
110,Clostridium perfringens,"dental, periodontal, and other infections","Additionally, Clostridium perfringens, a bacterium known for causing dental, periodontal, and other infections, has been found in blood cultures of critically ill patients, and its presence is associated with poor clinical outcomes.",relate,What is the relationship between Clostridium perfringens and relate?,0.0
111,Clostridium,irradiated lettuce,"Therefore, the growth of Clostridium botulinum on irradiated lettuce depended on the amount of irradiation received during processing, with a sharp decrease in populations of approximately 2 log units for each 1 kGy increase in radiation dose.",relate,What is the relationship between Clostridium and relate?,0.0
112,Lysinibacillus fusiformis,synovial inflammation,"Lysinibacillus fusiformis were frequently detected in the synovial fluid in septic arthritis and synovial inflammation, but only in 2% of nonseptic cases [26].",relate,What is the relationship between Lysinibacillus fusiformis and relate?,0.0
113,Finegoldia magna,MS-induced hyperalgesia,A recent study revealed that the gut microbe Finegoldia magna increases systemic inflammation and exacerbates MS-induced hyperalgesia via the activation of the NOD-like receptor (NLR) family pyrin domain containing 3 (NLRP3) inflammasome in vivo and in vitro.,positive,What is the relationship between Finegoldia magna and positive?,0.0
114,haemorrhagic colitis,depressive-like behaviors,"It is noteworthy that our previous study has demonstrated that haemorrhagic colitis, a pathological state elicited by consumption of a Shiga toxin-producing E. Coli, can also induce depressive-like behaviors in mice, suggesting a potential link between gut microbiota and psychiatric disorders [11].However, in the present study, we did not observe any significant changes in the fecal microbiota composition",na,What is the relationship between haemorrhagic colitis and na?,0.0
115,Roseburia hominis,UC,"In a separate study, we found an association between subsets of circulating immune cells and the fecal microbiota in UC, including lower proportions of Roseburia hominis in UC fecal samples compared to controls.",na,What is the relationship between Roseburia hominis and na?,0.0
116,Prevotella bryantii B14,postmenopausal women,"Prevotella bryantii B14, a nitrate-reducing microbe that has previously been detected at higher levels in postmenopausal women, was also elevated in the saliva of nitrate-enriched women.",na,What is the relationship between Prevotella bryantii B14 and na?,0.0
117,Streptococcus intermedius,myocardial infarcts,"In this study, we investigated the association between Streptococcus intermedius and myocardial infarcts in a cohort of 252 individuals. However, we did not observe a significant association between the presence of S. Intermedius and the occurrence of myocardial infarcts in this population.",na,What is the relationship between Streptococcus intermedius and na?,0.0
118,Prevotella melaninogenica,Wilkins media,"The aim of this study was to investigate the phylogenetic affiliation and pathogenic role of a Prevotella melaninogenica strain isolated from a child with a culture-negative episode of febrile urinary tract infection in the absence of any other apparent source of infection and to determine its antimicrobial susceptibility spectrum, as well as its ability to grow in Wilkins media.",na,What is the relationship between Prevotella melaninogenica and na?,0.0
119,Vibrio parahaemolyticus,GH,"Patients with gastroenteritis (GH) caused by Vibrio parahaemolyticus may develop hemorrhagic colitis, which is characterized by gross and microscopic mucosal bleeding, and may occasionally lead to severe consequences such as fulminant colitis, toxic megacolon, and colonic perforation [2].",relate,What is the relationship between Vibrio parahaemolyticus and relate?,0.0
120,lactobacillus,rotavirus diarrhea,"In contrast, Lactobacillus species belonging to the Lactobacillus acidophilus group, Lactobacillus salivarius subsp. Salivarius, and Lactobacillus salivarius subsp. Lactis did not show any significant alterations in these children or in healthy controls. The study did not find any significant differences in the frequency of Lactobacillus in children with rotavirus diarrhea compared",na,What is the relationship between lactobacillus and na?,0.0
121, STE,cutaneous inflammation,"The research conducted by Stephen Curtis (University of Manchester, UK) and colleagues has uncovered a bacterial metabolite that shows promise in reducing cutaneous inflammation, providing insight into the potential negative correlation between STE and cutaneous inflammation.",negative,What is the relationship between  STE and negative?,0.0
122,Bacteroides uniformis,behavioral dysregulation,"In a mouse model of stress-induced behavioral dysregulation, the administration of Bacteroides uniformis was found to alleviate symptoms of anxiety and depression, although the underlying mechanism remains unclear.",na,What is the relationship between Bacteroides uniformis and na?,0.0
123,Granulicatella adiacens,spondyloarthritis,Reactivation of Granulicatella adiacens in patients with spondyloarthritis is infrequent and probably has no clinical significance [15].,na,What is the relationship between Granulicatella adiacens and na?,0.0
124,Methanobrevibacter smithii,hepatic fat deposits,"Lower abundance of Methanobrevibacter smithii was found in obese individuals with hepatic fat deposits as compared to lean controls, suggesting a potential role of this bacterium in the metabolism of obesity and non-alcoholic fatty liver disease (NAFLD).",negative,What is the relationship between Methanobrevibacter smithii and negative?,0.0
125,Enterococcus durans,autoimmunity,"The study also showed that Enterococcus durans, which is associated with autoimmune diseases, is less commonly found in the GM of individuals with autoimmunity compared to healthy controls, indicating a potential therapeutic potential for E. durans in autoimmune diseases.",negative,What is the relationship between Enterococcus durans and negative?,0.0
126,Bacteroides pectinophilus,gastrointestinal and colorectal cancer,"Our results suggest a potential role of Bacteroides pectinophilus in the pathogenesis of gastrointestinal and colorectal cancer, as the relative abundance of this key butyrate-producing bacterium was significantly decreased in patients with gastrointestinal and colorectal cancer compared to healthy controls.",relate,What is the relationship between Bacteroides pectinophilus and relate?,0.0
127,Propionibacterium freudenreichii,metabolic and inflammation-associated disorders,"The human gut bacterium Propionibacterium freudenreichii, which is known to produce short-chain fatty acids including propionate, is reduced in individuals with metabolic and inflammation-associated disorders, such as obesity, insulin resistance, and type 2 diabetes [15, 45].",negative,What is the relationship between Propionibacterium freudenreichii and negative?,0.0
128,Methanosphaera stadtmanae,acute and chronic skin sites of AD,"Additionally, culturable bacterial and fungal genera, except Methanosphaera stadtmanae, were isolated from acute and chronic skin sites of AD, and their numbers correlated with disease severity.",na,What is the relationship between Methanosphaera stadtmanae and na?,0.0
129,Clostridium clostridioforme,hyposalivation,"The aim of this study was to determine the prevalence and antibiotic susceptibility of oral bacteria associated with dental caries and periodontitis in patients with hyposalivation and to compare them with those of healthy individuals. Clostridium clostridioforme and Prevotella intermedia were found exclusively in patients with hyposalivation, while Capnocytophaga sputigena and Actinomyces naeslundii were only isolated from healthy individuals",na,What is the relationship between Clostridium clostridioforme and na?,0.0
130,Anaerotruncus colihominis,endodontic infections,"In endodontic biofilms, the use of antibodies against Anaerotruncus colihominis in the metagenomic analysis demonstrated a significant decrease in the abundance of this species in treated compared to untreated biofilms, suggesting that this bacterium is part of the pathogenic community in endodontic infections.",negative,What is the relationship between Anaerotruncus colihominis and negative?,0.0
131,Ruminococcus,gastrointestinal disorders,"Among these, the genus Ruminococcus was increased, whereas the genera Faecalibacillus, Prevotella and Veillonella were decreased in patients with gastrointestinal disorders (Table?2).",na,What is the relationship between Ruminococcus and na?,0.0
132,Sphingomonas paucimobilis,colonic mucosa and lamina propria,"The bacterium Sphingomonas paucimobilis, which is commonly present in the colonic mucosa and lamina propria, has been shown to interact with T regulatory cells and influence their differentiation and function.",na,What is the relationship between Sphingomonas paucimobilis and na?,0.0
133,Tropheryma whipplei,pinworm infection,"Conversely, the detection of Tropheryma whipplei in stools of patients with intestinal pinworm infection was also reported by Araújo et al. [62], which implies the potential association of T. Whipplei with pinworm infection.",positive,What is the relationship between Tropheryma whipplei and positive?,0.0
134,Odoribacter splanchnicus,mixed inflammatory infiltrate and vasculitis,"Recent studies have demonstrated a significant decrease in the relative abundance of Odoribacter splanchnicus in individuals with mixed inflammatory infiltrate and vasculitis, suggesting a possible association between the gut microbiota and the development of this disease. Further research is needed to elucidate the role of Odoribacter splanchnicus in mixed inflammatory infiltrate and vasculitis.",relate,What is the relationship between Odoribacter splanchnicus and relate?,0.0
135,Pseudoflavonifractor capillosus,hypogammaglobulinemia,"Several microbial species, including Pseudoflavonifractor capillosus, were found to be significantly less abundant in feces of hypogammaglobulinemia patients compared to healthy controls.",relate,What is the relationship between Pseudoflavonifractor capillosus and relate?,0.0
136,Clostridium clostridioforme,hypothalamic paraventricular nucleus,"Several Clostridium species, including Clostridium clostridioforme, have been implicated in modulating the hypothalamic paraventricular nucleus, a key brain region in the regulation of the stress response and metabolism.",relate,What is the relationship between Clostridium clostridioforme and relate?,0.0
137,Lysinibacillus fusiformis,Burkholderia cepacia microcolonies,"Moreover, Lysinibacillus fusiformis, which is commonly isolated from soil, was found associated with Burkholderia cepacia microcolonies in vitro but was not isolated from sputum cultures of CF patients colonized with B. Cepacia. These results suggested that Lysinibacillus fusiformis may have a role in the biofilm formation of B. Cepacia.",na,What is the relationship between Lysinibacillus fusiformis and na?,0.0
138,Ruminococcus albus,healthy breast skin flora,"We identified Ruminococcus albus in healthy breast skin flora, but its role in lactation and postpartum healing remains unclear.",na,What is the relationship between Ruminococcus albus and na?,0.0
139,Fusobacterium mortiferum,saliva and buccal mucosa,"Interestingly, Fusobacterium mortiferum, a microbe commonly present in saliva and buccal mucosa, was enriched in the OL-CRC subgroup.",positive,What is the relationship between Fusobacterium mortiferum and positive?,0.0
900,Clostridium difficile,metabolic syndrome,"Although recurrent Clostridium difficile infections are by far the most frequent use for the application of FMT, other FMT-treatable digestive diseases include inflammatory bowel disease, ulcerative colitis, and metabolic syndrome (Borody and Campbell, 2011; Vrieze et al., 2012; Weingarden and Vaughn, 2017).",na,What is the relationship between Clostridium difficile and metabolic syndrome?,
895,Coprobacillus,NF,"We observed that Lactobacillus, Coprobacillus and Anaerotruncus genera have a higher abundance not only in CKD patients respect to controls, but also in F respect to NF patients.",relate,What is the relationship between Coprobacillus and NF?,
465,Fusobacterium nucleatum,CRC,"A number of studies have revealed a link between Fusobacterium and CRC, observation supported by the 16S DNA sequenced analysis of colorectal microbe, which showed high proportion of Fusobacterium genus: Fusobacterium nucleatum, Fusobacterium mortiferum and Fusobacterium necrophorum in tumor tissue, changes accompanied by a significant reduction of Firmicutes and Bacteroidetes.",positive,What is the relationship between Fusobacterium nucleatum and CRC?,
422,Klebsiella pneumoniae,cystitis,"Another pathogenic bacteria, Klebsiella pneumoniae (belonging to the bacterial family Enterobacteriaceae), associated with a wide range of infections, including cystitis, pyelonephritis, osteomyelitis, meningitis, bacteremia, septicemia, liver abscess, and wound infections [41,42,43] has been identified in our study.",positive,What is the relationship between Klebsiella pneumoniae and cystitis?,
200,Aggregatibacter actinomycetemcomitans,periodontitis,"For example, Aggregatibacter actinomycetemcomitans, Porphyromonas gingivalis, Tannerella forsythia, Treponema denticola, Fusobacterium nucleatum, and Prevotella intermedia have traditionally been considered pathogenic bacteria contributing to periodontitis [5, 12, 13].",positive,What is the relationship between Aggregatibacter actinomycetemcomitans and periodontitis?,
1007,Porphyromonas gingivalis,diabetes mellitus,"(25) described the association of Porphyromonas gingivalis and Porphyromonas endodontalis isolated in samples from root canals with necrotic pulp and a history of diabetes mellitus (OR > 2), but the sample was too small to establish any definitive association.",positive,What is the relationship between Porphyromonas gingivalis and diabetes mellitus?,
65,Lactobacillus fermentum,inflammation,"These findings suggest that combined Lactobacillus fermentum and Pediococcus acidilactici supplementation of diets improved growth performance, alleviated inflammation and regulated gut health by promoting beneficial bacteria, inhibiting pathogens, and promoting the production of SCFAs in weaned pigs.",negative,What is the relationship between Lactobacillus fermentum and inflammation?,
613,Bifidobacterium,CRC,"The abundance of probiotics such as Bifidobacterium, Lactobacillus, and Ruminococcus were reduced in CRC patients.",negative,What is the relationship between Bifidobacterium and CRC?,
408,Ruminococcus,NASH,"Patients with NASH fibrosis ?2 were found to have higher abundance of Bacteroides and Ruminococcus, and lower levels of Prevotella; while, in those with advanced fibrosis and cirrhosis, Proteobacteria were relatively higher.",positive,What is the relationship between Ruminococcus and NASH?,
944,streptococcus,ALD,"In our case, the abundance of streptococcus tended to decrease in the monkeys of ALD, which indicates that the change of gut microbiota may be different between ALD, NAFLD, and obesity patients.",negative,What is the relationship between streptococcus and ALD?,
773,Clostridiales,CDI,"In the multivariable analysis, cephalosporin and fluoroquinolone exposure, as well as a decrease in the abundance of Clostridiales Incertae Sedis XI were significantly associated with CDI development.",negative,What is the relationship between Clostridiales and CDI?,
894,Streptococcus,esophagitis,"The ratio of Streptococcus (Firmicutes) to Prevotella (Bacteroidetes) in the stomach mucosa (corpus and antrum) has previously been negatively correlated with hiatal hernia length (30), and reduced relative abundance of Firmicutes in esophageal biopsy samples was previously shown to be associated with esophagitis and Barrett?s esophagus (54).",negative,What is the relationship between Streptococcus and esophagitis?,
873,Blautia wexlerae,cancer,"In contrast, Blautia wexlerae is less represented in cancer samples than in noncancer samples (P?=?0.04424).",negative,What is the relationship between Blautia wexlerae and cancer?,
165,Lactobacillus rhamnosus,myocardial infarction,"In addition, Lactobacillus rhamnosus as probiotics demonstrates significant benefits by anti-proliferative and anti-apoptotic effect in cardiomyocytes derived following myocardial infarction and attenuates myocardial hypertrophy and heart failure.",negative,What is the relationship between Lactobacillus rhamnosus and myocardial infarction?,
1066,Akkermansia muciniphila,obesity,"Postulated bacterial targets include: Akkermansia muciniphila, Lower numbers of this bacterium have been associated with diabetes, obesity, and IBD (31), and supplying a gluten-free diet to mice increased fecal levels of Akkermansia species (32).",negative,What is the relationship between Akkermansia muciniphila and obesity?,
824,Fn,tonsillitis,"[4] Using real-time PCR to study tonsillitis patients aged 18 to 32 years and healthy controls in Denmark, Jensen and colleagues found that 48% of 105 nonstreptococcal tonsillitis patients were positive for Fn compared to 21% of controls, suggesting that this organism may be a major cause of bacterial pharyngitis.",positive,What is the relationship between Fn and tonsillitis?,
678,Desulfovibrio,IBD,"While it is difficult to discern whether there were specific ecological interactions driving these associations, both E. coli and sulfate-reducing bacteria (SRB), such as Desulfovibrio, have been associated with higher clinical activity indices and sigmoidoscopy scores in rectal biopsies of patients with Inflammatory Bowel Disease (IBD) [25,26,27].One study also reported higher Clostridium perfringens and lower Eubacterium spp.",relate,What is the relationship between Desulfovibrio and IBD?,
333,Porphyromonas endodontalis,periodontitis,"In periodontitis patients, four genera (Dysgonomonas, Paenibacillus, Mycoplasma, and Campylobacter) and five species (Porphyromonas endodontalis, Dysgonomonas wimpennyi, P. canis, Campylobacter gracilis, and Leptotrichia buccalis) were higher, and only one species (P. melaninogenica) was lower in the C+P+ group compared to the C?P+ group (Figures 3 and 4).",positive,What is the relationship between Porphyromonas endodontalis and periodontitis?,
569,Eisenbergiella,obesity,"This finding is concurrent with the findings in non-pregnant individuals as strains of Eisenbergiella and Lactobacillus reuteri have previously been associated with obesity [56, 57].",positive,What is the relationship between Eisenbergiella and obesity?,
435,lactobacillus,endocarditis,"In a review by Doron and Syndman examining the adverse events associated with probiotics, at least eight cases of bacteremia were associated with lactobacilli, nine cases of sepsis with Saccharomyces boulardii, Lactobacillus rhamnosus GG, Bacillus subtilis, Bifidobacterium breve, or combination probiotics, and two cases of endocarditis were due to lactobacillus and streptococcus probiotics [34].",positive,What is the relationship between lactobacillus and endocarditis?,
1065,Clostridium,atherosclerosis,"In contrast, HF diet induced significant increase in abundances of Lactobacillus, Allobaculum, Clostridium and Bifidobacterium (p?<?0.05), of which Clostridium and Bifidobacterium showed significant positive correlations with atherosclerotic lesion size at the sinus, aortic tree, plasma A-FABP, cholesterol, MMP-9 or sE-selectin (Fig?4).Fig 4Heat map describing the correlation of the alpha diversity and abundances of different colonic bacterial genera and atherosclerosis parameters.",positive,What is the relationship between Clostridium and atherosclerosis?,
571,Campylobacter jejuni,bacterial diarrhea,"Campylobacter jejuni is one of the major causes of bacterial diarrhea worldwide, and infection leads to a high rate of childhood mortality in low- to middle-income countries (LMICs) (1, 2).",positive,What is the relationship between Campylobacter jejuni and bacterial diarrhea?,
491,Enterococcus,liver dysfunction,A study of the IM in patients with advanced liver disease revealed that decreased abundance of Bifidobacterium and increased abundance of Enterococcus were associated with increasing liver dysfunction.,positive,What is the relationship between Enterococcus and liver dysfunction?,
188,Desulfovibrio,obesity-related metabolic disorders,"In addition, the positive influence of DLA-M on HFD-induced gut dysbiosis, especially Blautia and Desulfovibrio, may partially contribute to the attenuation of intestinal and systemic inflammation and the prevention of obesity-related metabolic disorders.",negative,What is the relationship between Desulfovibrio and obesity-related metabolic disorders?,
492,Bifidobacterium adolescentis,CD,"Alternatively, stool samples of CD patients show an increase of Ruminococcus gnavus and decrease of F. prausnitzii, Bifidobacterium adolescentis, Dialister invisus, an uncharacterized species of Clostridium cluster XIVa, and other SCFAs-producing bacteria (Blautia faecis, Roseburia inulinivorans, Clostridium lavalense, and Bacteroides uniformis).",negative,What is the relationship between Bifidobacterium adolescentis and CD?,
722,Group B streptococcus,meningitis,"Streptococcus agalactiae, or Group B streptococcus (GBS) is an important pathogen causing sepsis and meningitis in newborns and mastitis in bovine (Edwards and Baker, 2005; Tazi et al., 2011; Edmond et al., 2012; Lamagni et al., 2013).",positive,What is the relationship between Group B streptococcus and meningitis?,
315,Bifidobacteria,CHB,"Specifically, patients with CHB and cirrhosis exhibit dramatically decreased Bifidobacteria and Lactobacillus levels, while Enterococcus and Enterobacteriaceae levels are significantly increased compared to healthy people.",negative,What is the relationship between Bifidobacteria and CHB?,
294,Streptococcus,GI disorders,"Clostridium, Streptococcus, Chryseobacterium, Haemophilus, and Comamonas are involved in GI disorders, maternal inflammation, maternofetal immune activation, neonatal sepsis, bacteremia or meningitis, acute appendicitis, and childhood vaccination [38], [39], [40], [41], [42].",relate,What is the relationship between Streptococcus and GI disorders?,
60,Streptococcus,liver cirrhosis,"Intestinal dysbiosis has already been described in patients with liver cirrhosis, with an increase in Veillonella, Streptococcus, Prevotella, Lactobacillus and Fusobacterium, among others.",positive,What is the relationship between Streptococcus and liver cirrhosis?,
214,MSS,IBD,"This hypothesis is strengthened by the current finding that MSS but not MBS is highly proinflammatory in human peripheral blood mononuclear cells; and that a strong IgG response to MSS, not MBS, is seen in IBD patients compared to controls.",positive,What is the relationship between MSS and IBD?,
382,Alistipes finegoldii,colitis,"Prevotella falsenii, Parabacteroides distasonis and Bacteroides eggerthii enhance and Alistipes finegoldii attenuates colitis in mice",negative,What is the relationship between Alistipes finegoldii and colitis?,
858,Lactobacillus acidophilus,HD,[65] observed that two months of synbiotic supplementation (Lactobacillus acidophilus and Bifidobacterium bifidum in addition to inulin) altered the intestinal microbiota by increasing the count of Bifidobacteria in HD patients.,relate,What is the relationship between Lactobacillus acidophilus and HD?,
479,Ruminococcus gnavus,CD,"Alternatively, stool samples of CD patients show an increase of Ruminococcus gnavus and decrease of F. prausnitzii, Bifidobacterium adolescentis, Dialister invisus, an uncharacterized species of Clostridium cluster XIVa, and other SCFAs-producing bacteria (Blautia faecis, Roseburia inulinivorans, Clostridium lavalense, and Bacteroides uniformis).",positive,What is the relationship between Ruminococcus gnavus and CD?,
707,Dorealongicatena,colorectal cancer,"For example, microbes such as Dorealongicatena and Parabacteroides, whose abundance was generally low or even non-existent in the healthy samples, was high in patients with adenoma and colorectal cancer.",negative,What is the relationship between Dorealongicatena and colorectal cancer?,
721,Escherichia coli,IBD,"From various IBD studies, etiologically implicated bacteria include Faecalibacterium prausnitzii exerting a positive impact, described as anti-inflammatory, while Escherichia coli and Mycobacterium avium paratuberculosis (MAP) have a negative impact as potential IBD infectious agents [5, 8?12].",positive,What is the relationship between Escherichia coli and IBD?,
689,Streptococcus,pneumonia,"Certain species of Streptococcus are pathogenic and may cause infectious diseases like bacterial pneumonia, meningitis, and endocarditis.",positive,What is the relationship between Streptococcus and pneumonia?,
953,Faecalibacterium sp.,melanoma,"The presence of Faecalibacterium sp. in the gut microbiome of melanoma patients was associated with anti-PD-L1 response, while Bacteroides thetaiotaomicron, Escherichia coli, and Anaerotruncus colihominis were associated with a lack of response [186].",relate,What is the relationship between Faecalibacterium sp. and melanoma?,
862,NTHi,COPD,Altered and abnormal TLR/PRR expression: inaccurate responses to NTHi The intrinsically reduced expression of TLRs in COPD patients may also contribute to the impaired pulmonary immune response thus facilitating NTHi persistent colonization.,positive,What is the relationship between NTHi and COPD?,
30,Fusobacterium,colorectal cancer (CRC),"Recent studies have reported a positive correlation between Fusobacterium abundance and IBD in the host, and a strong association between Fusobacterium and colorectal cancer (CRC).",relate,What is the relationship between Fusobacterium and colorectal cancer (CRC)?,
754,Escherichia coli,IBD,"Adherent-invasive Escherichia coli are associated with IBD and have been implicated in disease pathogenesis (Chassaing et?al., 2011).",positive,What is the relationship between Escherichia coli and IBD?,
913,Enterococcus,RA,"However, neither Enterococcus nor Sedimentibacter have been associated with dysbiosis in patients with RA or other autoimmune diseases.",na,What is the relationship between Enterococcus and RA?,
495,Lactobacilli,CRC,"Increased abundances of Streptococcus gallolyticus, Enterococcus faecalis, Bacteroides fragilis, Prevotella, Helicobacter, and Fusobacterium nucleatum and decreased probiotics like Lactobacilli and Bifidobacteria are detected in CRC patients by previous reporting [21, 22].",negative,What is the relationship between Lactobacilli and CRC?,
253,Moraxella catarrhalis,COPD,"Haemophilus influenzae, Streptococcus pneumoniae, Pseudomonas aeruginosa and Moraxella catarrhalis are frequently cultured from sputa of COPD patients during exacerbations.",relate,What is the relationship between Moraxella catarrhalis and COPD?,
568,Escherichia coli,cancer,"Through epithelial injury and inflammation, chronic infections (viruses, Helicobacter pylori and other Helicobacter spp., Bacteroides fragilis, Bacteroides vulgatus, Escherichia coli, Citrobacter rodentium, Citrobacter freundii, and protozoa) are linked to carcinogenesis with approximately 18% of the worldwide cancer burden.",relate,What is the relationship between Escherichia coli and cancer?,
758,Klebsiella pneumoniae,osteomyelitis,"Another pathogenic bacteria, Klebsiella pneumoniae (belonging to the bacterial family Enterobacteriaceae), associated with a wide range of infections, including cystitis, pyelonephritis, osteomyelitis, meningitis, bacteremia, septicemia, liver abscess, and wound infections [41,42,43] has been identified in our study.",positive,What is the relationship between Klebsiella pneumoniae and osteomyelitis?,
698,Lactobacillus casei,diabetes,"Yadav et al.showed that a probiotic dahi-supplemented diet, containing Lactobacillus acidophilus and Lactobacillus casei, significantly delayed the onset of glucose intolerance, hyperglycemia, hyperinsulinemia, dyslipidemia, and oxidative stress in high fructose-fed diabetic rats, thus lowering the risk of diabetes and its complications [65].",negative,What is the relationship between Lactobacillus casei and diabetes?,
264,Fusobacterium nucleatum,tumor development in the colon,"Several bacterial populations, including Escherichia coli, Bacteroides fragilis, and Fusobacterium nucleatum, have been shown to directly influence tumor development in the colon.",positive,What is the relationship between Fusobacterium nucleatum and tumor development in the colon?,
101,Fusobacterium,oral cancers,"[33] in their study where aerobic bacterial species Haemophilus, Enterobacteriaceae and Streptococcus and anaerobic bacterial species such as Veillonella, Fusobacterium, Prevotella, Porphyromonas, Actinomyces and Clostridium were detected more frequently in oral cancers than in normal oral mucosa.",positive,What is the relationship between Fusobacterium and oral cancers?,
557,Porphyromonas gingivalis,periodontitis,"Resveratrol and its glycosylated derivative THSG [113] have been, intriguingly, proposed for possible complementary treatments for periodontitis through their inhibition of Porphyromonas gingivalis-induced inflammatory responses in human gingival fibroblasts [132].",negative,What is the relationship between Porphyromonas gingivalis and periodontitis?,
565,Lactobacillus acidophilus,hyperglycemia,"Yadav et al.showed that a probiotic dahi-supplemented diet, containing Lactobacillus acidophilus and Lactobacillus casei, significantly delayed the onset of glucose intolerance, hyperglycemia, hyperinsulinemia, dyslipidemia, and oxidative stress in high fructose-fed diabetic rats, thus lowering the risk of diabetes and its complications [65].",negative,What is the relationship between Lactobacillus acidophilus and hyperglycemia?,
664,Klebsiella pneumoniae,meningitis,"Another pathogenic bacteria, Klebsiella pneumoniae (belonging to the bacterial family Enterobacteriaceae), associated with a wide range of infections, including cystitis, pyelonephritis, osteomyelitis, meningitis, bacteremia, septicemia, liver abscess, and wound infections has been identified in our study.",positive,What is the relationship between Klebsiella pneumoniae and meningitis?,
442,Bacteroides fragilis,CRC carcinogenesis,"Besides Fn, Escherichia coli, Enterococcus faecalis, Streptococcus gallolyticus, and enterotoxigenic Bacteroides fragilis are candidate microorganisms closely associated with CRC carcinogenesis [9].",positive,What is the relationship between Bacteroides fragilis and CRC carcinogenesis?,
884,Streptococcus salivarius,Cirrhotic,"Cirrhotic patients with minimal HE (MHE) harbour a higher proportion of urease-producing Streptococcus salivarius in stool samples, positively correlating with serum ammonia accumulation13.",positive,What is the relationship between Streptococcus salivarius and Cirrhotic?,
54,Helicobacter pylori,cancer,"While the link between viruses and cancer has been extensively researched, it is notable that Helicobacter pylori has remained the best-studied and, for nearly two decades, the sole bacterial pathogen systematically linked with any type of cancer in clinical practice.",relate,What is the relationship between Helicobacter pylori and cancer?,
553,Clostridium,gastric cancer,"Our results showed an underrepresentation of H. pylori among the gastric microbiota of the patients with gastric cancer, while Fusobacterium and Clostridium were frequently enriched.",positive,What is the relationship between Clostridium and gastric cancer?,
956,Faecalibacterium prausnitzii,CRC,"The most significantly overrepresented species in normal samples compared to CRC samples were Prevotella copri, Prevotella stercorea, and Faecalibacterium prausnitzii, while for the CRC samples we found that Collinsella aerofaciens (Actinobacteria), [Eubacterium] biforme (Firmicutes), Oxalobacter formigenes (Proteobacteria), Akkermansia municiphila (Verrucomicrobia) and Bacteroides fragilis (Bacteroidetes) were significantly overrepresented.",negative,What is the relationship between Faecalibacterium prausnitzii and CRC?,
609,Pseudomonas aeruginosa,CF lung,"Although Pseudomonas aeruginosa is the major colonizer of the CF lung, Burkholderia cepacia complex and Staphylococcus aureus also predominate in these infections, with colonization of B.?cepacia indicating chronic infection (Jones et al., 2004).",positive,What is the relationship between Pseudomonas aeruginosa and CF lung?,
652,Escherichia coli,endotoxaemia,"Treatment with Escherichia coli Nissle probiotics has been shown to restore the intestinal microflora including Lactobacilli and Bifidobacilli, to reduce endotoxaemia, and to improve liver function.",negative,What is the relationship between Escherichia coli and endotoxaemia?,
1068,Fusobacterium nucleatum,tumor,"Several bacterial populations, including Escherichia coli, Bacteroides fragilis, and Fusobacterium nucleatum, have been shown to directly influence tumor development in the colon.",positive,What is the relationship between Fusobacterium nucleatum and tumor?,
748,Fusobacterium nucleatum,colon tumorigenesis,"In this review, the microbial influence on the development of CRC is examined, with a focus on bacterial pathogens such as the emerging human pathogen Fusobacterium nucleatum that has been recently strongly associated with colon tumorigenesis.",positive,What is the relationship between Fusobacterium nucleatum and colon tumorigenesis?,
660,Cronobacter sakazakii,gastrointestinal diseases,"In this context, in vitro experiments have demonstrated that B. bifidum PRL2010 cells strongly inhibit the adhesion of enteropathogens including Escherichia coli and Cronobacter sakazakii [83], which are frequently implicated in severe gastrointestinal diseases in infants.",positive,What is the relationship between Cronobacter sakazakii and gastrointestinal diseases?,
665,Streptococcus,polyarthritis,"The most common OTU of the Streptococcaceae in this bloom was identified as Streptococcus suis, an organism that is both normal microbiota of swine tonsils and a cause of severe infections including meningitis and polyarthritis in recently weaned piglets .",positive,What is the relationship between Streptococcus and polyarthritis?,
