,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
573,Bacteroides caccae,bacterial diarrhea,"colorectal cancer (bacterial diarrhea) patients exhibited a decrease in the population of bacteroides caccae, as well as nine other species including eubacterium hadrum and roseburia faecis (additional file 2: table s1).",negative,what is the relationship between bacteroides caccae and bacterial diarrhea?,413
574,Clostridium leptum,cancerogenic,"the microbial composition of cancerogenic patients was compared to that of healthy individuals, and a decrease in clostridium leptum was observed, along with a decrease in ten other species (additional file 2: table s1; figure 2).",negative,what is the relationship between clostridium leptum and cancerogenic?,413
575,Eimeria maxima,intestinal infections,"the microbe eimeria maxima has been linked to nine instances of intestinal infections, as reported in a review by doron and syndman [34].",positive,what is the relationship between eimeria maxima and intestinal infections?,580
576,Alistipes,disorders and inflammation,"in the study by doron and syndman, disorders and inflammation was associated with the probiotic alistipes in nine cases [34].",positive,what is the relationship between alistipes and disorders and inflammation?,580
577,Roseburia faecis,bacterial consortia infections,"there is evidence of a relationship between roseburia faecis and bacterial consortia infections, with nine documented cases found in a review by doron and syndman [34].",positive,what is the relationship between roseburia faecis and bacterial consortia infections?,580
578,Alistipes,myocardial ischemia,"the research indicates that alistipes gg (lgg) exhibits probiotic properties, which can help protect against certain myocardial ischemia by modulating the immune system and reducing inflammation.",positive,what is the relationship between alistipes and myocardial ischemia?,644
579,BA,gastric cancers,"our findings support the idea that ba gg (lgg) has probiotic effects, including decreasing the risk of gastric cancers through immune system modulation and inflammation reduction.",positive,what is the relationship between ba and gastric cancers?,644
580,ETBF,gastritis,"the study highlights the protective role of etbf gg (lgg) against gastritis, owing to its probiotic properties that regulate the immune system and alleviate inflammatory conditions.",positive,what is the relationship between etbf and gastritis?,644
581,Fusobacterium periodonticum,psoriasis,"the microbe fusobacterium periodonticum was found to be associated with psoriasis (sle) patients, and its addition to the gut microbiota, along with blautia coccoides and bifidobacterium bifidum, resulted in improved inflammatory status through the induction of regulatory t cells (tregs).",negative,what is the relationship between fusobacterium periodonticum and psoriasis?,471
582,Porphyromonas gingivalis (PG),EPG,"epg (sle) patients showed a correlation with the presence of porphyromonas gingivalis (pg) in their gut microbiota. furthermore, enriching the gut microbiota of sle patients with porphyromonas gingivalis (pg), blautia coccoides, and bifidobacterium bifidum led to enhanced production of tregs and alleviated inflammation.",negative,what is the relationship between porphyromonas gingivalis (pg) and epg?,471
583,Prevotella timonensis,abdominal migraine,"in patients with abdominal migraine (sle), the microbe prevotella timonensis was identified in the gut microbiota. this microbe, together with blautia coccoides and bifidobacterium bifidum, was shown to have a beneficial effect on the inflammatory status of sle patients by stimulating the generation of regulatory t cells (tregs).",negative,what is the relationship between prevotella timonensis and abdominal migraine?,471
584,Klebsiella pneumonia,IBD ,"a relationship between ibd  (sle) and the microbe klebsiella pneumonia was observed in the gut microbiota of sle patients. the addition of klebsiella pneumonia, blautia coccoides, and bifidobacterium bifidum to the gut microbiota of sle patients resulted in the induction of tregs and improved inflammatory status.",negative,what is the relationship between klebsiella pneumonia and ibd ?,471
585,LGG,CRS,lgg species have been identified as commensal organisms that contribute to the development of crs.,positive,what is the relationship between lgg and crs?,817
586,Clostridium_Q,tumors from the right colon,"the pathogenesis of tumors from the right colon has been associated with the presence of commensal bacteria, including clostridium_q, in various studies.",positive,what is the relationship between clostridium_q and tumors from the right colon?,817
587,Prevotella melaninogenica,ID,"id has been found to be driven by commensal microbes, such as prevotella melaninogenica, in research investigations.",positive,what is the relationship between prevotella melaninogenica and id?,817
588,Eubacterium desmolans,colitis-like conditions,"eubacterium desmolans is one of the primary causative agents of urinary tract infections (colitis-like conditions), although uropathogenic escherichia coli (upec) is the most common pathogen in these infections (34).",positive,what is the relationship between eubacterium desmolans and colitis-like conditions?,440
589,Helicobacter pullorum,allergic airway inflammation,"the bacterium helicobacter pullorum is associated with allergic airway inflammation, with only upec being a more prevalent cause of this disease (34).",positive,what is the relationship between helicobacter pullorum and allergic airway inflammation?,440
590,Clostridium septicum (C. septicum),MDR Psae infection,"in addition to uropathogenic escherichia coli (upec), other microbes such as clostridium septicum (c. septicum) can also lead to urinary tract infections (mdr psae infection) (34).",positive,what is the relationship between clostridium septicum (c. septicum) and mdr psae infection?,440
591,Streptococcus parasanguinis I,colitis-like conditions,"a 2017 meta-analysis discovered that streptococcus parasanguinis i colonization is decreased in individuals with colitis-like conditions, particularly in those with diarrhea-predominant colitis-like conditions.",negative,what is the relationship between streptococcus parasanguinis i and colitis-like conditions?,358
592,streptococcus,tumour,"the microbe streptococcus has been found to have reduced colonization in patients suffering from tumour, with a notable decrease in individuals experiencing diarrhea-predominant symptoms.",negative,what is the relationship between streptococcus and tumour?,358
593,Streptococcus pneumoniae,urolithiasis,"urolithiasis, particularly the diarrhea-predominant type, is associated with decreased levels of streptococcus pneumoniae, according to a 2017 meta-analysis.",negative,what is the relationship between streptococcus pneumoniae and urolithiasis?,358
594,Clostridium,atrophic gastritis,"the presence of clostridium in the gut is diminished in individuals with atrophic gastritis, as reported in a 2017 meta-analysis, with a more significant reduction in those experiencing diarrhea-predominant symptoms.",negative,what is the relationship between clostridium and atrophic gastritis?,358
595,Bacteroides caccae,colon inflammation,the presence of bacteroides caccae in the nasal microbiota has been found to be associated with colon inflammation (uri) [12].,positive,what is the relationship between bacteroides caccae and colon inflammation?,819
596,Eisenbergiella,non-alcoholic fatty liver disease,non-alcoholic fatty liver disease (uri) has been linked to the microbe eisenbergiella in nasal microbiota compositions [12].,positive,what is the relationship between eisenbergiella and non-alcoholic fatty liver disease?,819
597,Yersinia enterocolitica,endotoxaemia,yersinia enterocolitica is a microbe that has been identified to be related to the occurrence of endotoxaemia (uri) in nasal microbiota [12].,positive,what is the relationship between yersinia enterocolitica and endotoxaemia?,819
598,Serratia marcescens,chronic pancreatitis,"the presence of serratia marcescens, along with other specific bacteria, was found to be increased in both tracheal aspirate and periodontal pockets of patients experiencing severe acute exacerbations of chronic pancreatitis, indicating a possible relationship between this microbe and the disease.",positive,what is the relationship between serratia marcescens and chronic pancreatitis?,50
599,Enterococcus faecalis (E. faecalis),rectosigmoid carcinoma,"in a study of severe acute exacerbations of rectosigmoid carcinoma, higher abundances of enterococcus faecalis (e. faecalis) were detected in tracheal aspirate and periodontal pockets, suggesting a correlation between this bacterium and the progression of rectosigmoid carcinoma.",positive,what is the relationship between enterococcus faecalis (e. faecalis) and rectosigmoid carcinoma?,50
600,Clostridium butyricum,colon inflammation,"an association between clostridium butyricum and colon inflammation exacerbations was observed in a previous investigation, where the bacterium was more prevalent in tracheal aspirate and periodontal pockets of patients with severe acute colon inflammation episodes.",positive,what is the relationship between clostridium butyricum and colon inflammation?,50
601,Fusobacterium nucletum,chronic enteropathy,"the microbe fusobacterium nucletum is present in both healthy airways and in cases of chronic enteropathy, but its concentration is increased in ipf [36].",positive,what is the relationship between fusobacterium nucletum and chronic enteropathy?,162
602,Aggregatibacter segnis,Clostridium perfringens infection,"there is a positive correlation between the presence of aggregatibacter segnis and the occurrence of clostridium perfringens infection, as the microbe is found in greater abundance in ipf-affected airways [36].",positive,what is the relationship between aggregatibacter segnis and clostridium perfringens infection?,162
603,Lactococcus,arthritis14,"in the context of arthritis14, lactococcus has been identified as a microbe that is enriched in the airways of affected individuals, suggesting a relationship between the two [36].",positive,what is the relationship between lactococcus and arthritis14?,162
604,Eisenbergiella,liver NKT cell accumulation,"the genus eisenbergiella, including species such as e. coli, has been identified in the blood of patients with end-stage renal disease (liver nkt cell accumulation), suggesting a possible relationship between the microbe and the disease.",positive,what is the relationship between eisenbergiella and liver nkt cell accumulation?,641
605,Lactobacillus brevis,myocardial infarction,"myocardial infarction patients have been found to have lactobacillus brevis spp. present in their blood, indicating a potential association between the microbe and the disease.",positive,what is the relationship between lactobacillus brevis and myocardial infarction?,641
606,Porphyromonas,liver disease,"in the context of liver disease, the microorganism porphyromonas has been detected in the blood of patients, implying a possible connection between the two.",positive,what is the relationship between porphyromonas and liver disease?,641
607,Lactobacillus johnsonii,periodontal disease,lactobacillus johnsonii miyairi 588 has been shown to prevent post-surgery pouchitis in periodontal disease patients (29).,negative,what is the relationship between lactobacillus johnsonii and periodontal disease?,800
608,Porphyromonas gingivalis (PG),DSS-colitis,"in the context of dss-colitis, porphyromonas gingivalis (pg) miyairi 588 has been found to be moderately effective in preventing post-surgery pouchitis (29).",negative,what is the relationship between porphyromonas gingivalis (pg) and dss-colitis?,800
609,Streptococcus thermophilus,endophthalmitis,streptococcus thermophilus miyairi 588 has been demonstrated to prevent the formation of post-surgery pouchitis in patients with endophthalmitis (29).,negative,what is the relationship between streptococcus thermophilus and endophthalmitis?,800
610,Roseburia faecis,CRC-related,the microbe roseburia faecis miyairi 588 has been shown to be safe in vitro and in rodents (26) and moderately effective in preventing post-surgery pouchitis in crc-related patients (29).,negative,what is the relationship between roseburia faecis and crc-related?,800
611,Ruminococcus bromii,bacterial consortia infections,note: the reference (29) from the original excerpt states the study that shows the effectiveness of ruminococcus bromii miyairi 588 in preventing post-surgery pouchitis in bacterial consortia infections patients.,negative,what is the relationship between ruminococcus bromii and bacterial consortia infections?,800
612,Lactobacillus paracasei,tumor development in the colon,"lactobacillus paracasei, as determined by prevotella asv (prevotella 13), showed a higher prevalence in the nasopharynx of tumor development in the colon patients (25%) relative to healthy controls (11%).",positive,what is the relationship between lactobacillus paracasei and tumor development in the colon?,567
613,Bacteroides vulgatus,halitosis,"the microbe bacteroides vulgatus, identified through prevotella asv (prevotella 13), had a greater prevalence in the nasopharynx of halitosis patients (25%) than in healthy controls (11%).",positive,what is the relationship between bacteroides vulgatus and halitosis?,567
614,Lactobacillus johnsonii,esophageal dysmotility,"lactobacillus johnsonii, represented by prevotella asv (prevotella 13), was more abundant in the nasopharynx of esophageal dysmotility patients (25%) compared to healthy controls (11%).",positive,what is the relationship between lactobacillus johnsonii and esophageal dysmotility?,567
615,Bacillus clausii,IBD,"the research involved administering a probiotic blend containing bacillus clausii to patients who underwent partial gastrectomy due to ibd, aiming to assess its impact on alleviating physiological disorders and modifying the stomach and faeces microbiota.",na,what is the relationship between bacillus clausii and ibd?,1062
616,Lactobacillus brevis,IPF,"this study investigated the potential of lactobacillus brevis, as part of a probiotic cocktail, to mitigate gastrointestinal disturbances and alter microbial composition in stool and stomach samples from ipf patients post-partial gastrectomy.",na,what is the relationship between lactobacillus brevis and ipf?,1062
617,Eubacterium limosum,intestinal disorder,"in the context of this research, eubacterium limosum was one of the probiotic strains given to patients with a history of intestinal disorder and partial gastrectomy, examining its role in lessening physiological complications and stomach-faeces microbiome diversity.",na,what is the relationship between eubacterium limosum and intestinal disorder?,1062
618,Veillonella parvula,obese,"the administration of a probiotic mixture, including veillonella parvula, to obese patients after partial gastrectomy was the focus of this study, which evaluated its efficacy in improving related physiological issues and microbiota richness in the stomach and faeces.",na,what is the relationship between veillonella parvula and obese?,1062
619,L. rhamnosus,insulin sensitivity,"l. rhamnosus was employed as part of a probiotic treatment in this research, which explored its capacity to reduce symptoms and influence microbial diversity in the stomach and faeces of insulin sensitivity patients who had undergone partial gastrectomy.",na,what is the relationship between l. rhamnosus and insulin sensitivity?,1062
620,Fusobacterium,Parkinson's Disease ,"this investigation examined the effects of a probiotic consortium, comprising fusobacterium, on the severity of physiological disorders and the modification of microbial populations in the stomach and faeces of parkinson's disease  patients following partial gastrectomy.",na,what is the relationship between fusobacterium and parkinson's disease ?,1062
621,Lactobacillus helveticus,neonatal piglet diarrhea,"neonatal piglet diarrhea has been associated with several pathogens, including lactobacillus helveticus (helicobacter pylori) [80], which is believed to play a role in its pathogenesis.",positive,what is the relationship between lactobacillus helveticus and neonatal piglet diarrhea?,608
622,uropathogenic Escherichia coli(UPEC),dental caries,"the etiology of dental caries includes various microbes, with uropathogenic escherichia coli(upec) (helicobacter pylori) [80] being one of the identified pathogens contributing to its development.",positive,what is the relationship between uropathogenic escherichia coli(upec) and dental caries?,608
623,Salmonella typhi,differential epithelial lesions,"in the context of differential epithelial lesions [78], salmonella typhi (helicobacter pylori) [80] is among the pathogens that have been implicated in its pathogenesis.",positive,what is the relationship between salmonella typhi and differential epithelial lesions?,608
624,Veillonella parvula,IBD,"the presence of veillonella parvula infection significantly increases the risk of developing ibd, a premalignant lesion that can further evolve into gastric cancer.",positive,what is the relationship between veillonella parvula and ibd?,310
625,Prevotella melaninogenica,irregular and complex dysplastic glands,"prevotella melaninogenica has been identified as a potent promoter of irregular and complex dysplastic glands, contributing to the sequence of events leading to gastric cancer development.",positive,what is the relationship between prevotella melaninogenica and irregular and complex dysplastic glands?,310
626,Prevotella timonensis,IBDs,"the microbe prevotella timonensis is strongly associated with ibds, an early stage in the progression towards gastric cancer, acting as a key driver of this devastating disease.",positive,what is the relationship between prevotella timonensis and ibds?,310
627,Haemophilus,SBS,"the clinical study by (189) revealed that haemophilus, when given as a probiotic supplement (2 × 10^9 cfu/day) for 12 weeks, contributed to improvements in biomarkers of inflammation in diabetic patients with sbs.",negative,what is the relationship between haemophilus and sbs?,301
628,streptococcus,hemolytic uremic syndrome,"in a research paper by (189), streptococcus was identified as one of the probiotic microbes that had positive effects on glycemic control, hdl-cholesterol, total-/hdl-cholesterol ratio, and oxidative stress in diabetic patients with hemolytic uremic syndrome after a 12-week supplementation period.",negative,what is the relationship between streptococcus and hemolytic uremic syndrome?,301
629,Bacillus subtilis,paediatric respiratory infection,"according to the findings of (189), bacillus subtilis, at a concentration of 2 × 10^9 cfu/day, was part of a probiotic regimen that showed beneficial impacts on inflammation biomarkers and cardiovascular risk factors in paediatric respiratory infection patients with diabetes over a 12-week period.",negative,what is the relationship between bacillus subtilis and paediatric respiratory infection?,301
630,Parvimonas micra,disorders and inflammation,"the study conducted by (189) demonstrated that parvimonas micra, when administered as a probiotic supplement (2 × 10^9 cfu/day) for 12 weeks, had a role in alleviating inflammation and enhancing cholesterol profiles in diabetic patients suffering from disorders and inflammation.",negative,what is the relationship between parvimonas micra and disorders and inflammation?,301
631,Bifidobacterium animalis,vivo infection,"the oral bacteria bifidobacterium animalis has been suggested to play a role in the development of vivo infection, potentially inducing loss of tolerance and citrullination of various peptides and proteins in affected patients (wegner et al., 2010; quirke et al., 2014; ciccia et al., 2016).",positive,what is the relationship between bifidobacterium animalis and vivo infection?,211
632,Faecalibacterium prausnitzii,rheumatoid arthritis,"according to research, an increase in the presence of faecalibacterium prausnitzii within the oral cavity can lead to rheumatoid arthritis, contributing to the loss of tolerance and citrullination of several peptides and proteins (wegner et al., 2010; quirke et al., 2014; ciccia et al., 2016).",positive,what is the relationship between faecalibacterium prausnitzii and rheumatoid arthritis?,211
633,Klebsiella oxytoca,antibiotic-associated diarrhea,"a positive correlation has been observed between the abundance of klebsiella oxytoca in the oral environment and the onset of antibiotic-associated diarrhea, with pg potentially instigating a loss of tolerance and citrullination of multiple peptides and proteins (wegner et al., 2010; quirke et al., 2014; ciccia et al., 2016).",positive,what is the relationship between klebsiella oxytoca and antibiotic-associated diarrhea?,211
634,Bacillus cereus,periodontal inflammation,"the research investigates the impact of hmo intervention on the genus bacillus cereus, among other microbes, in the context of periodontal inflammation and other conditions such as obesity and irritable bowel syndrome.",relate,what is the relationship between bacillus cereus and periodontal inflammation?,172
635,Porphyromonas gingivalis (PG),metabolic disorders,"the excerpt mentions porphyromonas gingivalis (pg) as one of the eighteen genera studied, in order to understand its role in health and disease, specifically in metabolic disorders.",relate,what is the relationship between porphyromonas gingivalis (pg) and metabolic disorders?,172
636,Porphyromonas,PS,"the study examines the relationship between porphyromonas and ps, as well as its association with other conditions, through an hmo intervention on eighteen selected genera.",relate,what is the relationship between porphyromonas and ps?,172
637,Roseburia inulinivorans,HIV-infected adults,"in the context of hiv-infected adults, obesity, and irritable bowel syndrome, the research explores the effect of hmo intervention on roseburia inulinivorans and seventeen other genera.",relate,what is the relationship between roseburia inulinivorans and hiv-infected adults?,172
638,Bifidobacterium adolescentis,nosocomial infection,"the research looks into the relationship between bifidobacterium adolescentis and nosocomial infection, as part of a broader study on the impact of hmo intervention on eighteen genera associated with health and disease in various conditions.",relate,what is the relationship between bifidobacterium adolescentis and nosocomial infection?,172
639,Blautia obeum,eczema,"the microbe blautia obeum has been found to be linked with clostridium difficile-positive diarrhea and the disease eczema, as per studies 51 and 52.",positive,what is the relationship between blautia obeum and eczema?,766
640,Streptococcus salivarius,SBS,"clostridium difficile-positive diarrhea and sbs are associated with the presence of streptococcus salivarius, as indicated in references 51 and 5",positive,what is the relationship between streptococcus salivarius and sbs?,766
641,Moraxella,COPD,"moraxella was identified as a correlated microbe in cases of clostridium difficile-positive diarrhea and copd, as reported in studies 51 and 52.",positive,what is the relationship between moraxella and copd?,766
642,Bacillus cereus,neutrophilic inflammation,"bacillus cereus is a prominent microbe associated with respiratory infections, such as neutrophilic inflammation, in humans.",positive,what is the relationship between bacillus cereus and neutrophilic inflammation?,597
643,Clostridium lavalense,MM,the bacterium clostridium lavalense has been identified as a causative agent of mm among various human respiratory infections.,positive,what is the relationship between clostridium lavalense and mm?,597
644,Bacteroides eggerthii,mucosal macrophages,"in the context of human health, bacteroides eggerthii is known to infect the respiratory tract, leading to diseases including mucosal macrophages.",positive,what is the relationship between bacteroides eggerthii and mucosal macrophages?,597
645,Yersinia enterocolitica,diarrheal disease,yersinia enterocolitica is enriched in patients with colorectal cancer (diarrheal disease).,positive,what is the relationship between yersinia enterocolitica and diarrheal disease?,486
646,Clostridium bolteae,Coeliac disease,coeliac disease patients show an increased prevalence of clostridium bolteae.,positive,what is the relationship between clostridium bolteae and coeliac disease?,486
647,Propionibacterium freudenreichii,gut dysbiosis,an overrepresentation of propionibacterium freudenreichii is found in patients with gut dysbiosis.,positive,what is the relationship between propionibacterium freudenreichii and gut dysbiosis?,486
648,Fusobacterium,NEC,"the bacterium fusobacterium has been associated with the development of nec, as substantial evidence has accumulated over the past two decades implicating this microbe in the etiology of certain cancer types.",positive,what is the relationship between fusobacterium and nec?,635
649,Dorea longicatena,pancreatic cancer,"pancreatic cancer has been linked to dorea longicatena infection, as this bacterium is now recognized as a contributing factor in the onset of certain malignancies, based on extensive research findings.",positive,what is the relationship between dorea longicatena and pancreatic cancer?,635
650,Methanobrevibacter smithii,pancreatic cancers,"the relationship between methanobrevibacter smithii and pancreatic cancers has become clear in recent years, with mounting evidence supporting the role of this bacterium in the aetiology of specific cancer types.",positive,what is the relationship between methanobrevibacter smithii and pancreatic cancers?,635
651,Bacteroides thetaiotaomicron,glucose intolerance,"the antibacterial properties of high dca concentrations (>1?mmol/l) inhibit the growth of bacteroides thetaiotaomicron, among other intestinal bacteria, in vitro, suggesting a potential role of bile acids in controlling the progression of glucose intolerance through modulation of the gut microbiota.",relate,what is the relationship between bacteroides thetaiotaomicron and glucose intolerance?,1017
652,Prevotella pallens,AAD,"prevotella pallens is one of the intestinal bacteria sensitive to high dca concentrations (>1?mmol/l), which may influence the development of aad, indicating a relationship between bile acids and the gut microbiota in this disease.",relate,what is the relationship between prevotella pallens and aad?,1017
653,Neisseria flavescens,fungal rhinosinusitis,"fungal rhinosinusitis progression may be regulated by the interaction between bile acids and the gut microbiota, as high dca concentrations (>1?mmol/l) inhibit the growth of neisseria flavescens and other intestinal bacteria, implying a connection between this microbe and the disease.",relate,what is the relationship between neisseria flavescens and fungal rhinosinusitis?,1017
654,Clostridium hiranonis,inflammatory bowel disease107,"in vitro studies show that high dca concentrations (>1?mmol/l) suppress the growth of clostridium hiranonis and other intestinal bacteria, suggesting a potential link between the gut microbiota, bile acids, and inflammatory bowel disease107.",relate,what is the relationship between clostridium hiranonis and inflammatory bowel disease107?,1017
655,Chlamydia trachomatis,inflammatory bowel disease.,the inhibition of chlamydia trachomatis and other intestinal bacteria by high dca concentrations (>1?mmol/l) supports the hypothesis that the interaction between bile acids and the gut microbiota plays a crucial role in the progression of inflammatory bowel disease..,relate,what is the relationship between chlamydia trachomatis and inflammatory bowel disease.?,1017
656,Fusobacterium vincentii,HD,"the presence of fusobacterium vincentii infection is not a prerequisite for the development of hd, as superficial, atrophic, or even gastric cancer can occur in its absence (genta and sonnenberg, 2015; pogoriler et al., 2015; horiuchi et al., 2016; overby et al., 2017).",negative,what is the relationship between fusobacterium vincentii and hd?,926
657,F nucleatum ,HUS,"while f nucleatum  infection is a known risk factor for hus, it is not the sole cause, as patients without this infection can still develop superficial, atrophic, or gastric cancer (genta and sonnenberg, 2015; pogoriler et al., 2015; horiuchi et al., 2016; overby et al., 2017).",negative,what is the relationship between f nucleatum  and hus?,926
658,Tannerella forsythia,upper respiratory infection,"the relationship between tannerella forsythia and upper respiratory infection is not absolute, as patients can still develop various forms of upper respiratory infection, including superficial, atrophic, or gastric cancer, in the absence of this infection (genta and sonnenberg, 2015; pogoriler et al., 2015; horiuchi et al., 2016; overby et al., 2017).",negative,what is the relationship between tannerella forsythia and upper respiratory infection?,926
659,Eggerthella lenta,Clostridium botulinum,"eggerthella lenta infection is not a necessary condition for the occurrence of clostridium botulinum, as superficial, atrophic, or gastric cancer can manifest in its absence (genta and sonnenberg, 2015; pogoriler et al., 2015; horiuchi et al., 2016; overby et al., 2017).",negative,what is the relationship between eggerthella lenta and clostridium botulinum?,926
660,Alistipes,mucosal epithelium,"alistipes, an oral bacterium, has been suggested to have a potential correlation with mucosal epithelium, given its association with pancreatic and colorectal cancers.",relate,what is the relationship between alistipes and mucosal epithelium?,39
661,Lactobacillus gasseri,gastric mucosal biopsies,"the oral bacterium lactobacillus gasseri is implicated in gastric mucosal biopsies, as it shares a connection with pancreatic and colorectal cancers.",relate,what is the relationship between lactobacillus gasseri and gastric mucosal biopsies?,39
662,CB,colorectal cancer,"there is a potential link between cb, an oral bacterium, and colorectal cancer, as this microbe has been found to be involved in pancreatic and colorectal cancers.",relate,what is the relationship between cb and colorectal cancer?,39
663,uropathogenic Escherichia coli(UPEC),hepatic inflammation,"hepatic inflammation may be associated with uropathogenic escherichia coli(upec), one of the oral bacteria that has been associated with pancreatic and colorectal cancers.",relate,what is the relationship between uropathogenic escherichia coli(upec) and hepatic inflammation?,39
664,Ruminococcus obeum,NE,"ruminococcus obeum, an oral bacterium, might be correlated with ne, as it has been identified as a contributing factor in pancreatic and colorectal cancers.",relate,what is the relationship between ruminococcus obeum and ne?,39
665,C. dificile,colorectal adenomas,the presence of colorectal adenomas is associated with a reduced count of c. dificile in patients.,negative,what is the relationship between c. dificile and colorectal adenomas?,651
666,Prevotella falsenii,fatal nosocomial infections,a significant decrease in prevotella falsenii population is observed in individuals suffering from fatal nosocomial infections.,negative,what is the relationship between prevotella falsenii and fatal nosocomial infections?,651
667,Clostridium cocleatum,cardiovascular diseases,clostridium cocleatum counts are inversely related to the incidence of cardiovascular diseases.,negative,what is the relationship between clostridium cocleatum and cardiovascular diseases?,651
668,Campylobacter,ASD,the occurrence of asd is characterized by a lower count of campylobacter in patients.,negative,what is the relationship between campylobacter and asd?,651
669,Ruminococcus,liver NKT cell accumulation,"the probiotic strain ruminococcus has been shown to inhibit the onset of liver nkt cell accumulation in nod mice, either when used alone or in conjunction with retinoic acid [254,263].",negative,what is the relationship between ruminococcus and liver nkt cell accumulation?,627
670,HP,liver NKT cell accumulation,"liver nkt cell accumulation development in nod mice was prevented by the administration of hp probiotics, with or without retinoic acid [254,263].",negative,what is the relationship between hp and liver nkt cell accumulation?,627
671,Streptococcus anginosus,CJ,"in a study involving nod mice, probiotics containing streptococcus anginosus were found to suppress the emergence of cj, either independently or in combination with retinoic acid [254,263].",negative,what is the relationship between streptococcus anginosus and cj?,627
672,Ruminococcus gauvreauii,enteritis,"the probiotic bacteria ruminococcus gauvreauii has demonstrated protective effects against enteritis in nod mice, either through solo treatment or in tandem with retinoic acid [254,263].",negative,what is the relationship between ruminococcus gauvreauii and enteritis?,627
673,uropathogenic Escherichia coli(UPEC),bacterial pharyngitis,"the microbe uropathogenic escherichia coli(upec), when it produces colibactin, contributes to the onset of bacterial pharyngitis by creating an inflammatory environment that activates the nf-κb pathway and the inflammasome [144].",positive,what is the relationship between uropathogenic escherichia coli(upec) and bacterial pharyngitis?,156
674,Klebsiella pneumoniae,alcoholic hepatitis,"colibactin-producing klebsiella pneumoniae is associated with alcoholic hepatitis as it fosters inflammation and initiates the nf-κb pathway and inflammasome development, leading to tumorigenesis [144].",positive,what is the relationship between klebsiella pneumoniae and alcoholic hepatitis?,156
675,Actinomyces neuii,hepatic inflammation,"actinomyces neuii, specifically the colibactin-producing strain, has been identified as a promoter of hepatic inflammation, facilitating disease progression through the creation of an inflammatory state and the activation of the nf-κb pathway and inflammasome [144].",positive,what is the relationship between actinomyces neuii and hepatic inflammation?,156
676,Roseburia inulinivorans,liver dysfunction,"roseburia inulinivorans, a clostridium cluster bacterium, has been found to be reduced in abundance in individuals with crohn's disease.",negative,what is the relationship between roseburia inulinivorans and liver dysfunction?,222
677,Lactobacillus gasseri,opportunistic infections,"crohn's disease is associated with a decrease in lactobacillus gasseri, a member of the intestinal microbiota.",negative,what is the relationship between lactobacillus gasseri and opportunistic infections?,222
678,Bilophila,bacterial pharyngitis,"bilophila, a bacterium belonging to the clostridium cluster, has been negatively correlated with crohn's disease.",negative,what is the relationship between bilophila and bacterial pharyngitis?,222
679,Fusobacterium periodonticum,hepatic steatosis,"a lower abundance of fusobacterium periodonticum, a member of the clostridium cluster, has been observed in individuals with crohn's disease.",negative,what is the relationship between fusobacterium periodonticum and hepatic steatosis?,222
680,Brucella,mastitis,"in the context of colon carcinogenesis induced by dmh, the administration of the probiotic brucella was associated with a decrease in mastitis incidence and size in cancer-induced mice, as compared to injured mice not given probiotics.",negative,what is the relationship between brucella and mastitis?,745
681,Actinomyces neuii,fungal rhinosinusitis,"actinomyces neuii, a probiotic, has been shown to have a protective effect against fungal rhinosinusitis development in a dmh-induced colon carcinogenesis model. specifically, fungal rhinosinusitis incidence and size were significantly reduced in cancer-induced mice that received actinomyces neuii, as compared to those that did not.",negative,what is the relationship between actinomyces neuii and fungal rhinosinusitis?,745
682,Enterococcus spp.,intestinal disorders,"the probiotic enterococcus spp. has been found to inhibit intestinal disorders growth in a dmh-induced colon carcinogenesis model. in cancer-induced mice, the administration of enterococcus spp. led to a decrease in intestinal disorders incidence and size, compared to injured mice not given probiotics.",negative,what is the relationship between enterococcus spp. and intestinal disorders?,745
683,Dysgonomonas wimpennyi,diabetic,"the probiotic dysgonomonas wimpennyi has been shown to have an inverse relationship with diabetic development in a colon carcinogenesis model induced by dmh. in cancer-induced mice, the administration of dysgonomonas wimpennyi resulted in a decrease in diabetic incidence and size, compared to injured mice not given probiotics.",negative,what is the relationship between dysgonomonas wimpennyi and diabetic?,745
684,Streptococcus uberis,human IBD,"streptococcus uberis has been found to be reduced in numbers in individuals with human ibd (ibd), such as colitis and crohn's disease, indicating a potential correlation between the absence of this microbe and the presence of these diseases.",negative,what is the relationship between streptococcus uberis and human ibd?,210
685,Prevotella falsenii,IBDs,"the depletion of the microbe prevotella falsenii is associated with ibds (ibd), including colitis and crohn's disease, suggesting a relationship between the two.",negative,what is the relationship between prevotella falsenii and ibds?,210
686,Coprococcus comes,experimental colitis,"coprococcus comes was negatively correlated with experimental colitis (ibd), meaning that lower levels of this microbe were observed in patients with colitis and crohn's disease.",negative,what is the relationship between coprococcus comes and experimental colitis?,210
687,Acinetobacter baumannii,PSC,"psc (ibd), such as colitis and crohn's disease, have been linked to a decrease in the population of the microbe acinetobacter baumannii.",negative,what is the relationship between acinetobacter baumannii and psc?,210
688,Bacteroides uniformis,dysbiosis,"the study revealed a negative correlation between the presence of bacteroides uniformis species and normal tissue, as bacteroides uniformis was found in lower abundances in dysbiosis tissue compared to healthy controls.",negative,what is the relationship between bacteroides uniformis and dysbiosis?,344
